Timestamp,Tvoj trenutni status,"Povprečna NETO urna postavka za delo, ki si ga opravil/a preko študentske napotnice.",V zadnjih treh mesecih sem povprečno delal/a na teden,Vrsta zaposlitve,Obseg dela,Povprečna mesečna BRUTO plača v zadnjih treh mesecih.,"Povprečni celoletni BRUTO dodatki (bonusi, delnice, RSU, drugi dodatki...)",Primarno tržišče delodajalca,Sedež delodajalca je,Koliko let si že zaposlen/a pri trenutnem delodajalcu?,Opravljaš delo na daljavo (remote work)?,Ali trenutno aktivno iščeš novo zaposlitev?,"Imaš odprt še s.p.? (""popoldanski s.p."")",Število različnih naročnikov v zadnjih 6 mesecih,Povprečen mesečni BRUTO prihodek v zadnjih 6ih mesecih,Koliko odstotkov LETNEGA prihodka ti predstavlja največji naročnik?,Primarno tržišče največjega naročnika je ,Sedež največjega naročnika je ,Znam naslednje programske jezike,Največ dela opravim kot...,Koliko let že programiraš?,Koliko let poklicno programiraš?,Identificiram se kot,Starost,Prebivam v...
10/2/2024 10:07:30,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),1500€ - 1999€,pod 5000€,"tujina, drugo","tujina, drugo",1 - 2 leti,"ne, čeprav delodajalec omogoča delo na daljavo",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, C#, Python, PHP, C",spletni razvijalec/ka (back-end),5 - 6 let,1 - 2 leti,moški,19-25,obalno-kraška regija
10/2/2024 10:10:28,dijak/študent (delo opravljam prek študentske napotnice),"10,00€ - 10,99€",med 20 - 40 ur,,,,,,,,,,,,,,,,"JavaScript, HTML/CSS (sass/scss/...)",UI/UX razvijalec/ka,4 - 5 let,2 - 3 leta,ženska,19-25,gorenjska regija
10/2/2024 10:11:50,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,pod 5000€,"tujina, Evropska unija",Slovenija,1 - 2 leti,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), Java, TypeScript",spletni razvijalec/ka (front-end),5 - 6 let,,moški,26-30,obalno-kraška regija
10/2/2024 10:12:48,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4500€ - 4999€,55000€ - 59999€,Slovenija,"tujina, Evropska unija",1 - 2 leti,"da, a manj kot polni delovni čas",da,ne,,,,,,"JavaScript, SQL, Java, Python, Go",drugo,več kot 10 let,4 - 5 let,moški,26-30,osrednjeslovenska regija
10/2/2024 10:13:50,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),1500€ - 1999€,pod 5000€,Slovenija,Slovenija,manj kot 1 leto,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#, Python, PHP",spletni razvijalec/ka (back-end),1 - 2 leti,manj kot 1 leto,moški,26-30,ne želim odgovoriti
10/2/2024 10:23:02,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,pod 5000€,Slovenija,Slovenija,1 - 2 leti,"da, a manj kot polni delovni čas",ne,da,0,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, C#, TypeScript, Kotlin",razvijalec/ka mobilnih aplikacij (Android),več kot 10 let,9 - 10 let,moški,31-40,osrednjeslovenska regija
10/2/2024 10:26:18,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,45000€ - 49999€,"tujina, ZDA",Slovenija,1 - 2 leti,"da, za polni delovni čas",ne,da,1,pod 499€,100%,Slovenija,Slovenija,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#, Python, PHP, TypeScript",spletni razvijalec/ka (full-stack),9 - 10 let,6 - 7 let,moški,26-30,podravska regija
10/2/2024 10:26:57,delo opravljam prek s. p.,,,,,,,,,,,,,2 - 4,6000€ - 6499€,85 - 99%,"tujina, Evropska unija","tujina, Evropska unija","JavaScript, HTML/CSS (sass/scss/...), SQL, Python, TypeScript",spletni razvijalec/ka (full-stack),več kot 10 let,8 - 9 let,moški,26-30,osrednjeslovenska regija
10/2/2024 10:28:22,redno zaposlen/a,,,pogodba za določen čas,40 ur na teden (polni delovni čas),4500€ - 4999€,55000€ - 59999€,"tujina, Evropska unija",Slovenija,manj kot 1 leto,"da, a manj kot polni delovni čas",ne,ne,,,,,,,produktni/projektni vodja (PM),manj kot 1 leto,manj kot 1 leto,moški,41-50,osrednjeslovenska regija
10/2/2024 10:28:26,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2000€ - 2499€,pod 5000€,Slovenija,Slovenija,manj kot 1 leto,"ne, čeprav delodajalec omogoča delo na daljavo",ne,ne,,,,,,"SQL, C#",spletni razvijalec/ka (full-stack),4 - 5 let,manj kot 1 leto,moški,19-25,podravska regija
10/2/2024 10:32:48,dijak/študent (delo opravljam prek študentske napotnice),"11,00€ - 11,99€",40 ur (polni delovnik),,,,,,,,,,,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, TypeScript",spletni razvijalec/ka (front-end),2 - 3 leta,manj kot 1 leto,ženska,19-25,podravska regija
